Rank,Player,Avg Pick,Pos,Tm,Season
1,Le'Veon Bell,2.52,RB,PIT,2015
2,Antonio Brown,4.20,WR,PIT,2015
3,Eddie Lacy,5.36,RB,GBP,2015
4,Jamaal Charles,5.72,RB,KCC,2015
5,Adrian Peterson,6.21,RB,MIN,2015
6,Odell Beckham,7.19,WR,NYG,2015
7,Dez Bryant,8.40,WR,DAL,2015
8,Rob Gronkowski,8.73,TE,NEP,2015
9,Julio Jones,9.02,WR,ATL,2015
10,Demaryius Thomas,11.09,WR,DEN,2015
11,Marshawn Lynch,13.00,RB,SEA,2015
12,Matt Forte,14.50,RB,CHI,2015
13,Calvin Johnson,15.46,WR,DET,2015
14,C.J. Anderson,15.87,RB,DEN,2015
15,DeMarco Murray,16.33,RB,PHI,2015
16,A.J. Green,17.89,WR,CIN,2015
17,Andrew Luck,18.14,QB,IND,2015
18,LeSean McCoy,18.85,RB,BUF,2015
19,Jeremy Hill,19.02,RB,CIN,2015
20,Randall Cobb,20.68,WR,GBP,2015
21,Alshon Jeffery,23.86,WR,CHI,2015
22,Mike Evans,24.16,WR,TBB,2015
23,Aaron Rodgers,24.47,QB,GBP,2015
24,T.Y. Hilton,26.61,WR,IND,2015
25,Justin Forsett,28.94,RB,BAL,2015
26,DeAndre Hopkins,30.03,WR,HOU,2015
27,Brandin Cooks,30.59,WR,NOS,2015
28,Jimmy Graham,30.85,TE,SEA,2015
29,Lamar Miller,30.94,RB,MIA,2015
30,Emmanuel Sanders,34.50,WR,DEN,2015
31,Melvin Gordon,35.42,RB,SDC,2015
32,Jordan Matthews,35.59,WR,PHI,2015
33,Mark Ingram,35.78,RB,NOS,2015
34,Arian Foster,40.01,RB,HOU,2015
35,Frank Gore,40.34,RB,IND,2015
36,Carlos Hyde,40.40,RB,SFO,2015
37,Alfred Morris,42.98,RB,WAS,2015
38,Latavius Murray,44.40,RB,OAK,2015
39,Todd Gurley,45.98,RB,STL,2015
40,Keenan Allen,46.57,WR,SDC,2015
41,Amari Cooper,46.62,WR,OAK,2015
42,Julian Edelman,46.96,WR,NEP,2015
43,Andre Ellington,47.42,RB,ARI,2015
44,Golden Tate,48.36,WR,DET,2015
45,Travis Kelce,49.65,TE,KCC,2015
46,Sammy Watkins,50.17,WR,BUF,2015
47,C.J. Spiller,51.73,RB,NOS,2015
48,Jonathan Stewart,51.80,RB,CAR,2015
49,Andre Johnson,53.48,WR,IND,2015
50,Russell Wilson,53.83,QB,SEA,2015
51,Jarvis Landry,55.86,WR,MIA,2015
52,T.J. Yeldon,57.10,RB,JAC,2015
53,Greg Olsen,57.49,TE,CAR,2015
54,Jeremy Maclin,57.65,WR,KCC,2015
55,Brandon Marshall,57.69,WR,NYJ,2015
56,Giovani Bernard,59.29,RB,CIN,2015
57,Ameer Abdullah,60.25,RB,DET,2015
58,Martavis Bryant,61.71,WR,PIT,2015
59,Allen Robinson,62.49,WR,JAC,2015
60,Peyton Manning,63.54,QB,DEN,2015
61,DeSean Jackson,64.45,WR,WAS,2015
62,Joseph FA* RBRandle,65.01,RB,FA*,2015
63,Drew Brees,71.37,QB,NOS,2015
64,Joique Bell,73.79,RB,DET,2015
65,Ben Roethlisberger,73.88,QB,PIT,2015
66,Martellus Bennett,74.65,TE,CHI,2015
67,Doug Martin,77.08,RB,TBB,2015
68,Vincent Jackson,77.75,WR,TBB,2015
69,Tevin Coleman,78.22,RB,ATL,2015
70,Nelson Agholor,78.74,WR,PHI,2015
71,Isaiah Crowell,80.41,RB,CLE,2015
72,Matt Ryan,80.56,QB,ATL,2015
73,Davante Adams,81.13,WR,GBP,2015
74,Charles Johnson,81.22,WR,MIN,2015
75,Mike Wallace,82.55,WR,MIN,2015
76,Shane Vereen,82.57,RB,NYG,2015
77,Roddy White,84.68,WR,ATL,2015
78,LeGarrette Blount,86.06,RB,NEP,2015
79,Julius Thomas,86.52,TE,JAC,2015
80,Cam Newton,86.85,QB,CAR,2015
81,Rashad Jennings,88.34,RB,NYG,2015
82,Tre Mason,88.68,RB,STL,2015
83,Larry Fitzgerald,91.84,WR,ARI,2015
84,Michael Floyd,93.04,WR,ARI,2015
85,Eric Decker,93.57,WR,NYJ,2015
86,Torrey Smith,93.89,WR,SFO,2015
87,Chris Ivory,94.75,RB,NYJ,2015
88,Tony Romo,96.56,QB,DAL,2015
89,Devonta Freeman,96.75,RB,ATL,2015
90,Tom Brady,96.99,QB,NEP,2015
91,Jordan Cameron,97.37,TE,MIA,2015
92,Zach Ertz,97.56,TE,PHI,2015
93,Matthew Stafford,98.04,QB,DET,2015
94,Ryan Tannehill,98.77,QB,MIA,2015
95,Duke Johnson,98.94,RB,CLE,2015
96,John Brown,99.04,WR,ARI,2015
97,Brandon LaFell,102.15,WR,NEP,2015
98,Ryan Mathews,102.50,RB,PHI,2015
99,Victor Cruz,102.90,WR,NYG,2015
100,Steve Smith,104.20,WR,BAL,2015
101,Bishop Sankey,105.22,RB,TEN,2015
102,Anquan Boldin,106.27,WR,SFO,2015
103,Kendall Wright,108.59,WR,TEN,2015
104,DeVante Parker,109.17,WR,MIA,2015
105,Jason Witten,111.58,TE,DAL,2015
106,Eli Manning,112.18,QB,NYG,2015
107,Breshad Perriman,113.00,WR,BAL,2015
108,Darren McFadden,113.52,RB,DAL,2015
109,Pierre Garcon,118.62,WR,WAS,2015
110,Philip Rivers,118.79,QB,SDC,2015
111,Tyler Eifert,119.35,TE,CIN,2015
112,Delanie Walker,120.46,TE,TEN,2015
113,"Seahawks, Seattle SEA Def",121.98,Def,SEA,2015
114,Jay Ajayi,122.24,RB,MIA,2015
115,Danny Woodhead,123.99,RB,SDC,2015
116,Marques Colston,125.18,WR,NOS,2015
117,David Johnson,125.73,RB,ARI,2015
118,Charles Sims,125.90,RB,TBB,2015
119,David Cobb,127.35,RB,TEN,2015
120,Kenny Stills,127.59,WR,MIA,2015
121,Teddy Bridgewater,127.84,QB,MIN,2015
122,Knile Davis,128.32,RB,KCC,2015
123,Brian Quick,132.00,WR,STL,2015
124,Sam Bradford,132.53,QB,PHI,2015
125,Antonio Gates,132.55,TE,SDC,2015
126,Austin Seferian-Jenkins,133.33,TE,TBB,2015
127,Dorial Green-Beckham,133.99,WR,TEN,2015
128,Devin Funchess,134.16,WR,CAR,2015
129,"Bills, Buffalo BUF Def",135.18,Def,BUF,2015
130,Kyle Rudolph,135.70,TE,MIN,2015
131,Terrance Williams,136.02,WR,DAL,2015
132,Reggie Bush,136.13,RB,SFO,2015
133,Dwayne Allen,136.31,TE,IND,2015
134,Josh Hill,140.49,TE,NOS,2015
135,Stephen Gostkowski,141.58,PK,NEP,2015
136,Donte Moncrief,141.89,WR,IND,2015
137,"Texans, Houston HOU Def",141.90,Def,HOU,2015
138,Colin Kaepernick,142.16,QB,SFO,2015
139,Alfred Blue,142.56,RB,HOU,2015
140,Cody Latimer,143.72,WR,DEN,2015
141,Darren Sproles,143.76,RB,PHI,2015
142,Owen Daniels,144.06,TE,DEN,2015
143,Rueben Randle,145.75,WR,NYG,2015
144,Joe Flacco,146.63,QB,BAL,2015
145,Jerick McKinnon,148.05,RB,MIN,2015
146,Percy Harvin,149.09,WR,BUF,2015
147,Roy Helu,149.62,RB,OAK,2015
148,"Rams, St. Louis STL Def",151.12,Def,STL,2015
149,Eddie Royal,151.28,WR,CHI,2015
150,Eric Ebron,151.73,TE,DET,2015
