"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","1","1","","1","1","1","1.0"
"2","Christian McCaffrey","CAR","13","RB2","3","2","","4","2","2","2.6"
"3","Austin Ekeler","LAC","8","RB3","4","3","","2","3","4","3.2"
"4","Cooper Kupp","LAR","7","WR1","2","6","","3","5","5","4.2"
"5","Derrick Henry","TEN","6","RB4","5","8","","5","4","3","5.0"
"6","Justin Jefferson","MIN","7","WR2","6","5","","6","6","6","5.8"
"7","Najee Harris","PIT","9","RB5","8","4","","7","7","8","6.8"
"8","Dalvin Cook","MIN","7","RB6","10","7","","8","8","7","8.0"
"9","Ja'Marr Chase","CIN","10","WR3","7","9","","9","9","9","8.6"
"10","Davante Adams","LV","6","WR4","9","12","","10","10","11","10.4"
"11","Joe Mixon","CIN","10","RB7","13","10","","11","14","10","11.6"
"12","Stefon Diggs","BUF","7","WR5","11","13","","12","13","13","12.4"
"13","D'Andre Swift","DET","6","RB8","14","11","","15","11","14","13.0"
"14","Travis Kelce","KC","8","TE1","19","15","","13","15","12","14.8"
"15","Deebo Samuel","SF","9","WR6","12","19","","16","19","21","17.4"
"16","Nick Chubb","CLE","9","RB9","27","17","","20","12","15","18.2"
"17","CeeDee Lamb","DAL","9","WR7","17","20","","21","17","16","18.2"
"18","Alvin Kamara","NO","14","RB10","16","22","","17","18","19","18.4"
"19","Javonte Williams","DEN","9","RB11","22","16","","14","20","24","19.2"
"20","Tyreek Hill","MIA","11","WR8","15","23","","18","22","18","19.2"
"21","Aaron Jones","GB","14","RB12","20","21","","22","16","23","20.4"
"22","Leonard Fournette","TB","11","RB13","18","14","","23","26","25","21.2"
"23","Mark Andrews","BAL","10","TE2","25","24","","19","24","17","21.8"
"24","Saquon Barkley","NYG","9","RB14","29","18","","24","21","22","22.8"
"25","Josh Allen","BUF","7","QB1","23","28","","29","23","20","24.6"
"26","Mike Evans","TB","11","WR9","21","27","","28","25","26","25.4"
"27","Keenan Allen","LAC","8","WR10","26","32","","27","28","29","28.4"
"28","A.J. Brown","PHI","7","WR11","33","33","","26","30","27","29.8"
"29","James Conner","ARI","13","RB15","24","26","","35","36","32","30.6"
"30","Ezekiel Elliott","DAL","9","RB16","36","25","","38","27","30","31.2"
"31","Tee Higgins","CIN","10","WR12","30","35","","30","31","33","31.8"
"32","Cam Akers","LAR","7","RB17","28","29","","25","44","36","32.4"
"33","David Montgomery","CHI","14","RB18","32","30","","36","29","35","32.4"
"34","Patrick Mahomes II","KC","8","QB2","31","39","","40","32","31","34.6"
"35","Kyle Pitts","ATL","14","TE3","39","38","","34","38","28","35.4"
"36","Justin Herbert","LAC","8","QB3","37","42","","42","33","34","37.6"
"37","Antonio Gibson","WAS","14","RB19","50","41","","32","35","40","39.6"
"38","Diontae Johnson","PIT","9","WR13","44","44","","33","41","39","40.2"
"39","Josh Jacobs","LV","6","RB20","45","31","","39","43","46","40.8"
"40","Jaylen Waddle","MIA","11","WR14","34","52","","31","45","44","41.2"
"41","Michael Pittman Jr.","IND","14","WR15","40","37","","43","39","47","41.2"
"42","Terry McLaurin","WAS","14","WR16","38","46","","44","46","41","43.0"
"43","George Kittle","SF","9","TE4","47","49","","47","37","37","43.4"
"44","Breece Hall","NYJ","10","RB21","43","36","","37","65","42","44.6"
"45","Travis Etienne Jr.","JAC","11","RB22","51","34","","46","48","45","44.8"
"46","Darren Waller","LV","6","TE5","42","48","","49","47","38","44.8"
"47","DK Metcalf","SEA","11","WR17","49","53","","41","40","43","45.2"
"48","DJ Moore","CAR","13","WR18","35","47","","45","52","48","45.4"
"49","J.K. Dobbins","BAL","10","RB23","41","40","","81","34","49","49.0"
"50","Elijah Mitchell","SF","9","RB24","59","43","","48","42","55","49.4"
