"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","1","1","","1","1.0"
"2","Austin Ekeler","LAC","8","RB2","2","2","","5","3.0"
"3","Christian McCaffrey","CAR","13","RB3","6","4","","2","4.0"
"4","Cooper Kupp","LAR","7","WR1","4","3","","6","4.3"
"5","Derrick Henry","TEN","6","RB4","5","5","","3","4.3"
"6","Dalvin Cook","MIN","7","RB5","3","8","","4","5.0"
"7","Najee Harris","PIT","9","RB6","7","7","","7","7.0"
"8","Justin Jefferson","MIN","7","WR2","8","6","","8","7.3"
"9","Ja'Marr Chase","CIN","10","WR3","9","10","","9","9.3"
"10","Davante Adams","LV","6","WR4","12","9","","10","10.3"
"11","Joe Mixon","CIN","10","RB7","10","12","","11","11.0"
"12","Stefon Diggs","BUF","7","WR5","13","14","","13","13.3"
"13","Travis Kelce","KC","8","TE1","15","15","","12","14.0"
"14","Nick Chubb","CLE","9","RB8","11","20","","16","15.7"
"15","Javonte Williams","DEN","9","RB9","14","11","","23","16.0"
"16","D'Andre Swift","DET","6","RB10","18","17","","14","16.3"
"17","Deebo Samuel","SF","9","WR6","21","13","","21","18.3"
"18","Tyreek Hill","MIA","11","WR7","24","16","","15","18.3"
"19","Alvin Kamara","NO","14","RB11","20","18","","17","18.3"
"20","CeeDee Lamb","DAL","9","WR8","17","22","","20","19.7"
"21","Mark Andrews","BAL","10","TE2","25","19","","19","21.0"
"22","Josh Allen","BUF","7","QB1","16","33","","18","22.3"
"23","Aaron Jones","GB","14","RB12","22","24","","25","23.7"
"24","A.J. Brown","PHI","7","WR9","29","23","","24","25.3"
"25","Leonard Fournette","TB","11","RB13","19","30","","28","25.7"
"26","Saquon Barkley","NYG","9","RB14","30","26","","22","26.0"
"27","Mike Evans","TB","11","WR10","23","32","","29","28.0"
"28","Keenan Allen","LAC","8","WR11","26","28","","31","28.3"
"29","Antonio Gibson","WAS","14","RB15","28","25","","33","28.7"
"30","Cam Akers","LAR","7","RB16","33","21","","34","29.3"
"31","Tee Higgins","CIN","10","WR12","27","31","","37","31.7"
