season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,jimmy graham,NOR,25,16,64.0,109,11,30.5,17,10,58.82,55,8,41.5
2013,larry fitzgerald,ARI,24,15,62.5,108,6,35.3,12,7,58.33,37,4,36.4
2013,eric decker,DEN,23,13,56.52,88,7,20.9,14,7,50.0,30,5,23.3
2013,julian edelman,NWE,23,15,65.22,94,5,28.7,9,6,66.67,35,4,23.7
2013,tony gonzalez,ATL,23,15,65.22,127,7,25.3,8,4,50.0,16,3,16.3
2013,calvin johnson,DET,23,10,43.48,78,7,30.3,10,5,50.0,20,4,29.4
2013,wes welker,DEN,23,18,78.26,100,9,20.9,15,10,66.67,35,8,25.0
2013,brandon marshall,CHI,22,12,54.55,83,9,26.5,14,8,57.14,42,7,31.1
2013,jordy nelson,GNB,22,13,59.09,95,6,25.9,11,5,45.45,17,2,22.0
2013,antonio brown,PIT,21,11,52.38,62,1,24.1,4,2,50.0,4,0,10.3
2013,aj green,CIN,21,9,42.86,59,4,32.8,12,5,41.67,19,3,35.3
2013,danny woodhead,SDG,21,19,90.48,106,5,24.1,12,10,83.33,46,3,27.9
2013,dez bryant,DAL,20,13,65.0,68,10,30.8,16,11,68.75,38,9,40.0
2013,keenan allen,SDG,19,7,36.84,64,6,21.8,10,4,40.0,25,4,23.3
2013,jordan cameron,CLE,19,11,57.89,76,7,26.0,11,6,54.55,23,5,26.8
2013,pierre garcon,WAS,19,8,42.11,56,4,30.6,10,5,50.0,29,4,31.3
2013,alshon jeffery,CHI,19,5,26.32,32,3,22.9,11,3,27.27,13,2,24.4
2013,demaryius thomas,DEN,19,13,68.42,99,7,17.3,10,6,60.0,27,4,16.7
2013,vernon davis,SFO,18,11,61.11,89,8,36.7,12,6,50.0,18,5,41.4
2013,josh gordon,CLE,18,5,27.78,44,1,24.7,11,1,9.09,1,1,26.8
2013,vincent jackson,TAM,18,8,44.44,43,4,34.6,7,3,42.86,5,3,26.9
2013,andre johnson,HOU,18,7,38.89,32,3,27.7,11,6,54.55,25,3,28.9
2013,greg olsen,CAR,18,9,50.0,79,6,34.0,9,4,44.44,16,3,39.1
2013,jamaal charles,KAN,17,8,47.06,53,4,22.7,9,4,44.44,14,3,27.3
