season,team_x,player_name,gsis_id,snaps,team_snaps,games_played,receptions,rec_yards,rec_tds,targets,air_yards,target_share,touch_perc,yards_after_catch,stand_fp,ppr_fp,half_ppr_fp,adot,team_y,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,DEN,demaryius thomas,00-0027874,1106,1207.0,16.0,92.0,1430.0,14.0,142.0,1753.0,12.84,12.84,827.0,227.0,319.0,273.0,12.345070422535212,DEN,19.0,13.0,68.42,99.0,7.0,17.3,10.0,6.0,60.0,27.0,4.0,16.7
2013,BAL,torrey smith,00-0027996,1098,1136.0,16.0,65.0,1128.0,4.0,137.0,2116.0,12.48,12.48,363.0,136.8,201.8,169.3,15.445255474452555,BAL,17.0,6.0,35.29,37.0,3.0,22.7,6.0,4.0,66.67,22.0,3.0,15.4
2013,GB,jordy nelson,00-0026176,1083,1122.0,16.0,85.0,1314.0,8.0,127.0,1466.0,11.73,11.73,424.0,179.4,264.4,221.9,11.543307086614174,GNB,22.0,13.0,59.09,95.0,6.0,25.9,11.0,5.0,45.45,17.0,2.0,22.0
2013,CIN,aj green,00-0027942,1055,1132.0,16.0,98.0,1426.0,11.0,178.0,2429.0,16.87,16.87,395.0,208.6,306.6,257.6,13.646067415730338,CIN,21.0,9.0,42.86,59.0,4.0,32.8,12.0,5.0,41.67,19.0,3.0,35.3
2013,DEN,eric decker,00-0027690,1050,1207.0,16.0,87.0,1288.0,11.0,136.0,1683.0,12.95,12.95,423.0,194.8,281.8,238.3,12.375,DEN,23.0,13.0,56.52,88.0,7.0,20.9,14.0,7.0,50.0,30.0,5.0,23.3
2013,NE,julian edelman,00-0027150,1021,1197.0,16.0,105.0,1056.0,6.0,151.0,1417.0,14.79,14.99,570.0,141.60000000000002,246.60000000000002,194.10000000000002,9.3841059602649,NWE,23.0,15.0,65.22,94.0,5.0,28.7,9.0,6.0,66.67,35.0,4.0,23.7
2013,ARI,larry fitzgerald,00-0022921,998,1084.0,16.0,82.0,954.0,10.0,135.0,1363.0,13.53,13.73,335.0,155.4,237.4,196.4,10.096296296296297,ARI,24.0,15.0,62.5,108.0,6.0,35.3,12.0,7.0,58.33,37.0,4.0,36.4
2013,HOU,deandre hopkins,00-0030564,995,1121.0,16.0,52.0,802.0,2.0,91.0,1221.0,9.15,9.15,181.0,92.2,144.2,118.2,13.417582417582418,HOU,11.0,3.0,27.27,21.0,1.0,16.9,6.0,2.0,33.33,9.0,1.0,15.8
2013,HOU,andre johnson,00-0022044,994,1121.0,16.0,109.0,1407.0,5.0,181.0,2004.0,18.21,18.21,405.0,170.70000000000002,279.70000000000005,225.20000000000002,11.07182320441989,HOU,18.0,7.0,38.89,32.0,3.0,27.7,11.0,6.0,54.55,25.0,3.0,28.9
2013,PHI,desean jackson,00-0026189,987,1103.0,16.0,82.0,1332.0,9.0,126.0,1742.0,12.77,13.07,497.0,187.20000000000002,269.20000000000005,228.20000000000002,13.825396825396826,PHI,10.0,6.0,60.0,55.0,3.0,17.9,3.0,3.0,100.0,16.0,1.0,13.0
2013,CHI,brandon marshall,00-0024334,987,1057.0,16.0,100.0,1295.0,12.0,164.0,1986.0,16.62,16.62,283.0,201.5,301.5,251.5,12.109756097560975,CHI,22.0,12.0,54.55,83.0,9.0,26.5,14.0,8.0,57.14,42.0,7.0,31.1
2013,PHI,riley cooper,00-0027758,980,1103.0,16.0,47.0,835.0,8.0,84.0,1300.0,8.47,8.47,241.0,131.5,178.5,155.0,15.476190476190476,PHI,11.0,7.0,63.64,58.0,4.0,19.6,5.0,3.0,60.0,13.0,2.0,21.7
2013,WAS,pierre garcon,00-0026345,978,1144.0,16.0,113.0,1346.0,5.0,181.0,1651.0,18.61,18.81,661.0,164.6,277.6,221.1,9.121546961325967,WAS,19.0,8.0,42.11,56.0,4.0,30.6,10.0,5.0,50.0,29.0,4.0,31.3
2013,TB,vincent jackson,00-0023496,969,1036.0,16.0,78.0,1224.0,7.0,160.0,2045.0,16.51,16.62,319.0,164.4,242.4,203.4,12.78125,TAM,18.0,8.0,44.44,43.0,4.0,34.6,7.0,3.0,42.86,5.0,3.0,26.9
2013,CHI,alshon jeffery,00-0029137,962,1057.0,16.0,89.0,1421.0,7.0,148.0,1867.0,15.49,17.15,415.0,184.1,273.1,228.6,12.614864864864865,CHI,19.0,5.0,26.32,32.0,3.0,22.9,11.0,3.0,27.27,13.0,2.0,24.4
2013,PIT,antonio brown,00-0027793,955,1052.0,16.0,110.0,1499.0,8.0,167.0,1763.0,17.38,18.12,570.0,197.9,307.9,252.9,10.55688622754491,PIT,21.0,11.0,52.38,62.0,1.0,24.1,4.0,2.0,50.0,4.0,0.0,10.3
2013,DET,kris durham,00-0028045,951,1135.0,16.0,38.0,490.0,2.0,85.0,983.0,8.94,8.94,123.0,61.0,99.0,80.0,11.564705882352941,DET,11.0,5.0,45.45,49.0,2.0,14.5,2.0,1.0,50.0,5.0,1.0,5.9
2013,MIA,mike wallace,00-0026901,951,1027.0,16.0,73.0,930.0,5.0,141.0,2215.0,14.83,15.14,273.0,123.0,196.0,159.5,15.709219858156029,MIA,11.0,4.0,36.36,39.0,2.0,17.2,4.0,1.0,25.0,5.0,1.0,15.4
2013,SD,keenan allen,00-0030279,944,1057.0,15.0,71.0,1046.0,8.0,105.0,1217.0,11.02,11.02,449.0,152.60000000000002,223.60000000000002,188.10000000000002,11.59047619047619,SDG,19.0,7.0,36.84,64.0,6.0,21.8,10.0,4.0,40.0,25.0,4.0,23.3
2013,CLE,greg little,00-0027997,940,1106.0,16.0,41.0,465.0,2.0,99.0,1126.0,10.53,10.53,190.0,58.5,99.5,79.0,11.373737373737374,CLE,12.0,4.0,33.33,9.0,2.0,16.4,8.0,2.0,25.0,6.0,2.0,19.5
2013,DAL,dez bryant,00-0027902,933,997.0,16.0,93.0,1233.0,13.0,159.0,1849.0,17.04,17.15,524.0,201.3,294.3,247.8,11.628930817610064,DAL,20.0,13.0,65.0,68.0,10.0,30.8,16.0,11.0,68.75,38.0,9.0,40.0
2013,ARI,michael floyd,00-0029638,930,1084.0,16.0,65.0,1041.0,5.0,113.0,1529.0,11.94,11.94,282.0,134.10000000000002,199.10000000000002,166.60000000000002,13.530973451327434,ARI,14.0,6.0,42.86,61.0,2.0,20.6,6.0,2.0,33.33,15.0,1.0,18.2
2013,ATL,harry douglas,00-0026224,926,1077.0,16.0,85.0,1067.0,2.0,132.0,1107.0,14.25,14.25,514.0,118.7,203.7,161.2,8.386363636363637,ATL,14.0,5.0,35.71,38.0,0.0,15.4,7.0,1.0,14.29,-1.0,0.0,14.3
2013,SD,vincent brown,00-0028020,917,1110.0,16.0,41.0,472.0,1.0,70.0,852.0,7.52,7.52,84.0,53.2,94.2,73.7,12.17142857142857,SDG,8.0,6.0,75.0,25.0,1.0,9.2,4.0,2.0,50.0,13.0,1.0,9.3
2013,BUF,robert woods,00-0030431,910,1027.0,14.0,40.0,587.0,3.0,85.0,1143.0,9.34,9.56,111.0,76.7,116.7,96.7,13.447058823529412,BUF,6.0,2.0,33.33,25.0,2.0,16.2,3.0,1.0,33.33,7.0,1.0,16.7
2013,MIA,brian hartline,00-0027077,907,1027.0,16.0,76.0,1016.0,4.0,133.0,1485.0,14.77,14.77,269.0,125.60000000000001,201.60000000000002,163.60000000000002,11.165413533834586,MIA,10.0,3.0,30.0,33.0,2.0,15.6,2.0,1.0,50.0,4.0,1.0,7.7
2013,CAR,brandon lafell,00-0027681,907,1029.0,16.0,49.0,627.0,5.0,85.0,1029.0,9.37,9.59,261.0,92.7,141.7,117.2,12.105882352941176,CAR,8.0,4.0,50.0,36.0,3.0,15.1,3.0,2.0,66.67,4.0,1.0,13.0
2013,CLE,josh gordon,00-0029664,899,966.0,14.0,87.0,1646.0,9.0,159.0,2177.0,17.69,18.24,631.0,218.60000000000002,305.6,262.1,13.69182389937107,CLE,18.0,5.0,27.78,44.0,1.0,24.7,11.0,1.0,9.09,1.0,1.0,26.8
2013,DET,calvin johnson,00-0025389,892,1008.0,14.0,84.0,1492.0,12.0,156.0,2184.0,17.49,17.49,458.0,221.20000000000002,305.20000000000005,263.20000000000005,14.0,DET,23.0,10.0,43.48,78.0,7.0,30.3,10.0,5.0,50.0,20.0,4.0,29.4
2013,TEN,nate washington,00-0023367,887,1075.0,16.0,58.0,919.0,3.0,105.0,1430.0,11.84,11.84,233.0,109.9,167.9,138.9,13.619047619047619,TEN,5.0,4.0,80.0,23.0,1.0,9.3,2.0,2.0,100.0,10.0,1.0,6.9
2013,GB,james jones,00-0025465,847,975.0,14.0,59.0,817.0,3.0,93.0,1067.0,10.98,10.98,369.0,99.7,158.7,129.2,11.473118279569892,GNB,13.0,8.0,61.54,49.0,2.0,15.3,8.0,4.0,50.0,20.0,2.0,16.0
2013,KC,dwayne bowe,00-0025410,837,1007.0,15.0,57.0,673.0,5.0,103.0,1113.0,12.31,12.31,281.0,97.3,154.3,125.8,10.805825242718447,KAN,14.0,7.0,50.0,42.0,3.0,18.7,6.0,4.0,66.67,18.0,2.0,18.2
