Pos,Team,Name,Snaps,Snap%,TeamSnaps
QB,crd,Kyler Murray,940,80.14,1172.0
QB,crd,Colt McCoy,209,17.82,1172.0
QB,crd,Chris Streveler,24,2.05,1172.0
RB,crd,Chase Edmonds,476,40.58,1172.0
RB,crd,James Conner,598,50.98,1172.0
RB,crd,Jonathan Ward,46,3.92,1172.0
RB,crd,Eno Benjamin,95,8.1,1172.0
RB,crd,Tavien Feaster,0,0.0,1172.0
WR,crd,DeAndre Hopkins,560,47.74,1172.0
WR,crd,A.J. Green,888,75.7,1172.0
WR,crd,Christian Kirk,894,76.21,1172.0
WR,crd,Rondale Moore,432,36.83,1172.0
WR,crd,Greg Dortch,34,2.9,1172.0
WR,crd,Antoine Wesley,460,39.22,1172.0
WR,crd,Andy Isabella,30,2.56,1172.0
TE,crd,Maxx Williams,221,18.84,1172.0
TE,crd,Zach Ertz,618,52.69,1172.0
TE,crd,Demetrius Harris,210,17.9,1172.0
TE,crd,Darrell Daniels,254,21.65,1172.0
TE,crd,Ross Travis,18,1.53,1172.0
TE,crd,David Wells,12,1.02,1172.0
QB,atl,Matt Ryan,1023,97.24,1052.0
QB,atl,Feleipe Franks,14,1.33,1052.0
QB,atl,Josh Rosen,26,2.47,1052.0
RB,atl,Mike Davis,594,56.46,1052.0
RB,atl,Cordarrelle Patterson,473,44.96,1052.0
RB,atl,Wayne Gallman,46,4.37,1052.0
RB,atl,Qadree Ollison,70,6.65,1052.0
WR,atl,Calvin Ridley,299,28.42,1052.0
WR,atl,Russell Gage,612,58.17,1052.0
WR,atl,Olamide Zaccheaus,610,57.98,1052.0
WR,atl,Marvin Hall,17,1.62,1052.0
WR,atl,Tajae Sharpe,510,48.48,1052.0
WR,atl,Frank Darby,20,1.9,1052.0
WR,atl,Christian Blake,110,10.46,1052.0
WR,atl,Austin Trammell,0,0.0,1052.0
TE,atl,Kyle Pitts,774,73.57,1052.0
TE,atl,Hayden Hurst,410,38.97,1052.0
TE,atl,Lee Smith,311,29.56,1052.0
TE,atl,Parker Hesse,123,11.69,1052.0
QB,rav,Lamar Jackson,810,65.22,1241.0
QB,rav,Josh Johnson,59,4.75,1241.0
QB,rav,Tyler Huntley,373,30.03,1241.0
RB,rav,Ty'Son Williams,158,12.72,1241.0
RB,rav,Trenton Cannon,9,0.72,1241.0
RB,rav,Latavius Murray,378,30.43,1241.0
RB,rav,Le'Veon Bell,118,9.5,1241.0
RB,rav,Devonta Freeman,528,42.51,1241.0
RB,rav,Nate McCrary,2,0.16,1241.0
RB,rav,Patrick Ricard,555,44.69,1241.0
WR,rav,Sammy Watkins,458,36.88,1241.0
WR,rav,Devin Duvernay,603,48.55,1241.0
WR,rav,Marquise Brown,924,74.4,1241.0
WR,rav,Rashod Bateman,604,48.63,1241.0
WR,rav,Tylan Wallace,84,6.76,1241.0
WR,rav,Miles Boykin,35,2.82,1241.0
WR,rav,James Proche,212,17.07,1241.0
TE,rav,Mark Andrews,936,75.36,1241.0
TE,rav,Nick Boyle,95,7.65,1241.0
TE,rav,Eric Tomlinson,319,25.68,1241.0
TE,rav,Tony Poljan,6,0.48,1241.0
TE,rav,Josh Oliver,155,12.48,1241.0
QB,buf,Josh Allen,1161,96.91,1198.0
QB,buf,Davis Webb,4,0.33,1198.0
QB,buf,Mitchell Trubisky,33,2.75,1198.0
RB,buf,Devin Singletary,718,59.93,1198.0
RB,buf,Taiwan Jones,1,0.08,1198.0
RB,buf,Matt Breida,81,6.76,1198.0
RB,buf,Zack Moss,380,31.72,1198.0
RB,buf,Reggie Gilliam,155,12.94,1198.0
WR,buf,Stefon Diggs,977,81.55,1198.0
WR,buf,Emmanuel Sanders,747,62.35,1198.0
WR,buf,Cole Beasley,691,57.68,1198.0
WR,buf,Gabriel Davis,571,47.66,1198.0
WR,buf,Isaiah McKenzie,257,21.45,1198.0
WR,buf,Jake Kumerow,116,9.68,1198.0
WR,buf,Marquez Stevenson,6,0.5,1198.0
WR,buf,Isaiah Hodgins,4,0.33,1198.0
TE,buf,Dawson Knox,917,76.54,1198.0
TE,buf,Kahale Warring,3,0.25,1198.0
TE,buf,Tommy Sweeney,267,22.29,1198.0
QB,car,Sam Darnold,771,67.1,1149.0
QB,car,Cam Newton,252,21.93,1149.0
QB,car,P.J. Walker,126,10.97,1149.0
RB,car,Christian McCaffrey,272,23.67,1149.0
RB,car,Chuba Hubbard,465,40.47,1149.0
RB,car,Rodney Smith,37,3.22,1149.0
RB,car,Reggie Bonnafon,14,1.22,1149.0
