,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Jonathan Taylor,IND,RB,22,17,17,51,40,0,0,0,1811,18,332,360,2,333,0,4,2
1,Cooper Kupp,LAR,WR,28,17,17,191,145,0,0,1,18,0,4,1947,16,295,0,0,0
2,Deebo Samuel,SFO,WR,25,16,15,121,77,24,1,2,365,8,59,1405,6,262,0,4,2
3,Josh Allen,BUF,QB,25,17,17,0,0,4407,36,646,763,6,122,0,0,403,15,8,3
4,Austin Ekeler,LAC,RB,26,16,16,94,70,0,0,0,911,12,206,647,8,274,0,4,3
5,Justin Herbert,LAC,QB,23,17,17,0,0,5014,38,672,302,3,63,0,0,381,15,1,1
6,Tom Brady,TAM,QB,44,17,17,0,0,5316,43,719,81,2,28,0,0,375,12,4,3
7,Mark Andrews,BAL,TE,26,17,9,153,107,0,0,0,0,0,1,1361,9,194,0,1,0
8,Ja'Marr Chase,CIN,WR,21,17,17,128,81,0,0,0,21,0,7,1455,13,224,0,2,1
9,Justin Jefferson,MIN,WR,22,17,17,167,108,35,0,4,14,0,6,1616,10,222,0,1,1
10,Joe Mixon,CIN,RB,25,16,16,48,42,0,0,0,1205,13,292,314,3,246,0,2,1
11,Davante Adams,GNB,WR,29,16,16,169,123,0,0,0,0,0,0,1553,11,221,0,0,0
12,Patrick Mahomes,KAN,QB,26,17,17,0,0,4839,37,658,381,2,66,0,0,362,13,9,4
13,Najee Harris,PIT,RB,23,17,17,94,74,0,0,0,1200,7,307,467,3,227,0,0,0
14,Travis Kelce,KAN,TE,32,16,16,134,92,0,0,0,3,1,2,1125,9,171,0,1,1
15,James Conner,ARI,RB,26,15,6,39,37,0,0,0,752,15,202,375,3,221,0,2,0
16,Mike Evans,TAM,WR,28,16,16,114,74,0,0,0,10,0,1,1035,14,189,0,0,0
17,Aaron Rodgers,GNB,QB,38,16,16,1,1,4115,37,531,101,3,33,-4,0,332,4,3,0
18,Tyreek Hill,KAN,WR,27,17,16,159,111,0,0,0,96,0,9,1239,9,186,0,2,1
19,Matthew Stafford,LAR,QB,33,17,17,0,0,4886,41,601,43,0,32,0,0,330,17,5,2
20,Stefon Diggs,BUF,WR,28,17,17,164,103,0,0,0,0,0,0,1225,10,183,0,1,0
21,Ezekiel Elliott,DAL,RB,26,17,17,65,47,4,0,1,1002,10,237,287,2,205,0,1,1
22,Dak Prescott,DAL,QB,28,16,16,0,0,4449,37,596,146,1,48,0,0,321,10,14,6
23,Nick Chubb,CLE,RB,26,14,14,25,20,0,0,0,1259,8,228,174,1,195,0,2,1
24,Mike Williams,LAC,WR,27,16,14,129,76,0,0,0,0,0,0,1146,9,171,0,0,0
25,D.K. Metcalf,SEA,WR,24,17,17,129,75,0,0,0,6,0,1,967,12,169,0,1,0
26,Tyler Lockett,SEA,WR,29,16,16,107,73,0,0,0,9,0,2,1175,8,168,0,0,0
27,Damien Harris,NWE,RB,24,15,15,21,18,0,0,0,929,15,202,132,0,192,0,2,2
28,Joe Burrow,CIN,QB,25,16,16,0,0,4611,34,520,118,2,40,0,0,314,14,5,2
30,Diontae Johnson,PIT,WR,25,16,14,169,107,0,0,0,53,0,5,1161,8,167,0,2,2
31,Jalen Hurts,PHI,QB,23,15,15,1,0,3144,16,432,784,10,139,0,0,312,9,9,2
32,Alvin Kamara,NOR,RB,26,13,10,67,47,0,0,0,898,4,240,439,5,188,0,0,0
33,Antonio Gibson,WAS,RB,23,16,14,52,42,0,0,0,1037,7,258,294,3,187,0,6,4
34,Leonard Fournette,TAM,RB,26,14,13,84,69,0,0,1,812,8,180,454,2,187,0,1,0
35,Dalton Schultz,DAL,TE,25,17,15,104,78,0,0,0,0,0,0,808,8,131,0,0,0
36,Cordarrelle Patterson,ATL,RB,30,16,13,69,52,0,0,1,618,6,153,548,5,183,0,2,0
37,George Kittle,SFO,TE,28,14,14,94,71,0,0,0,20,0,3,910,6,127,0,2,1
38,Hunter Renfrow,LVR,WR,26,17,9,128,103,0,0,0,3,0,3,1038,9,156,0,5,1
39,CeeDee Lamb,DAL,WR,22,16,13,120,79,0,0,0,76,0,9,1102,6,154,0,0,0
40,Kyler Murray,ARI,QB,24,14,14,0,0,3787,24,481,423,5,88,7,0,300,10,13,0
41,Kirk Cousins,MIN,QB,33,16,16,0,0,4221,33,561,115,1,29,0,0,300,7,12,2
42,Aaron Jones,GNB,RB,27,15,15,65,52,0,0,0,799,4,171,391,6,177,0,2,1
43,Keenan Allen,LAC,WR,29,16,16,157,106,0,0,1,0,0,0,1138,6,152,0,1,0
44,Derrick Henry,TEN,RB,27,8,8,20,18,5,1,1,937,10,219,154,0,175,0,1,0
45,Michael Pittman Jr.,IND,WR,24,17,17,129,88,0,0,0,44,0,5,1082,6,151,0,1,0
46,Dalvin Cook,MIN,RB,26,13,13,49,34,0,0,0,1159,6,249,224,0,172,0,3,2
47,Josh Jacobs,LVR,RB,23,15,14,64,54,0,0,0,872,9,217,348,0,172,0,2,2
48,Rob Gronkowski,TAM,TE,32,12,12,89,55,0,0,0,0,0,0,802,6,116,0,0,0
49,Tee Higgins,CIN,WR,22,14,14,110,74,0,0,0,0,0,0,1091,6,145,0,1,1
50,Dawson Knox,BUF,TE,25,15,14,71,49,0,0,0,4,0,0,587,9,115,0,0,0
51,D.J. Moore,CAR,WR,24,17,17,163,93,0,0,0,48,0,8,1157,4,145,0,1,1
52,Chris Godwin,TAM,WR,25,14,14,127,98,0,0,0,21,1,4,1103,5,144,0,2,2
53,Hunter Henry,NWE,TE,27,17,10,75,50,0,0,0,0,0,0,603,9,114,0,0,0
54,Melvin Gordon,DEN,RB,28,16,16,38,28,0,0,0,918,8,203,213,2,167,0,3,3
55,Jaylen Waddle,MIA,WR,23,16,16,140,104,0,0,0,3,1,2,1015,6,142,0,2,1
56,Brandin Cooks,HOU,WR,28,16,16,134,90,0,0,0,21,0,2,1037,6,142,0,0,0
57,Dallas Goedert,PHI,TE,26,15,14,76,56,0,0,0,0,0,0,830,4,109,0,1,0
58,Darnell Mooney,CHI,WR,24,17,14,140,81,0,0,0,32,1,6,1055,4,139,0,0,0
59,Kyle Pitts,ATL,TE,21,17,15,110,68,0,0,0,0,0,0,1026,1,109,0,0,0
61,Javonte Williams,DEN,RB,21,17,1,53,43,0,0,0,903,4,203,316,3,162,0,2,1
62,Amon-Ra St. Brown,DET,WR,22,17,9,119,90,0,0,0,61,1,7,912,5,137,0,0,0
63,Zach Ertz,2TM,TE,31,17,14,112,74,0,0,0,4,0,1,763,5,107,0,0,0
64,Terry McLaurin,WAS,WR,26,17,17,130,77,0,0,0,12,0,1,1053,5,137,0,0,0
65,Marquise Brown,BAL,WR,24,16,16,146,91,0,0,0,5,0,1,1008,6,135,0,3,1
66,Amari Cooper,DAL,WR,27,15,14,104,68,0,0,0,0,0,0,865,8,135,0,1,0
67,Devin Singletary,BUF,RB,24,17,16,50,40,0,0,0,870,7,188,228,1,158,0,5,0
68,Adam Thielen,MIN,WR,31,13,13,95,67,0,0,0,2,0,1,726,10,133,0,1,0
69,Christian Kirk,ARI,WR,25,17,11,103,77,33,0,1,11,0,1,982,5,131,0,0,0
70,David Montgomery,CHI,RB,24,13,13,51,42,0,0,1,849,7,225,301,0,153,1,1,1
71,AJ Dillon,GNB,RB,23,17,2,37,34,0,0,0,803,5,187,313,2,152,0,2,1
72,Kendrick Bourne,NWE,WR,26,17,5,70,55,25,1,1,125,0,12,800,5,126,0,1,1
73,Darrel Williams,KAN,RB,26,17,7,57,47,0,0,0,558,6,144,452,2,149,0,0,0
74,D'Andre Swift,DET,RB,22,13,4,78,62,0,0,1,617,5,151,452,2,147,0,2,1
75,Mike Gesicki,MIA,TE,26,17,9,112,73,0,0,1,0,0,0,780,2,92,0,0,0
76,Nick Ralston,DAL,,25,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
77,Elijah Mitchell,SFO,RB,23,11,10,20,19,0,0,0,963,5,207,137,1,146,0,0,0
78,Tory Carter,TEN,,22,8,2,0,0,0,0,0,0,0,0,0,0,,0,0,0
79,Ryan Tannehill,TEN,QB,33,17,17,0,0,3734,21,531,270,7,55,0,0,268,14,10,4
80,Carson Wentz,IND,QB,29,17,17,0,0,3563,27,516,215,1,57,0,0,258,7,8,5
81,Derek Carr,LVR,QB,30,17,17,0,0,4804,23,626,108,0,40,0,0,257,14,13,5
82,Russell Wilson,SEA,QB,33,14,14,0,0,3113,25,400,183,2,43,0,0,243,6,6,1
83,Lamar Jackson,BAL,QB,24,12,12,0,0,2882,16,382,767,2,133,0,0,240,13,6,3
84,Jimmy Garoppolo,SFO,QB,30,15,15,0,0,3810,20,441,51,3,38,0,0,228,12,8,3
85,Mac Jones,NWE,QB,23,17,17,0,0,3801,22,521,129,0,44,0,0,225,13,7,3
86,Matt Ryan,ATL,QB,36,17,17,0,0,3968,20,560,82,1,40,0,0,223,12,11,4
87,Taylor Heinicke,WAS,QB,28,16,15,1,1,3419,20,494,313,1,60,-2,0,222,15,7,2
88,Ben Roethlisberger,PIT,QB,39,16,16,0,0,3740,22,605,5,1,20,0,0,218,10,11,5
89,Teddy Bridgewater,DEN,QB,29,14,14,0,0,3052,18,426,106,2,30,0,0,203,7,1,1
90,Trevor Lawrence,JAX,QB,22,17,17,0,0,3641,12,602,334,2,73,0,0,199,17,9,5
92,Jared Goff,DET,QB,27,14,14,0,0,3245,19,494,87,0,17,0,0,195,8,9,6
93,Baker Mayfield,CLE,QB,26,14,14,0,0,3010,17,418,134,1,37,11,0,181,13,6,3
94,Tua Tagovailoa,MIA,QB,23,13,12,0,0,2653,16,388,128,3,42,0,0,181,10,9,1
95,Daniel Jones,NYG,QB,24,11,11,1,1,2428,10,361,298,2,62,16,0,167,7,7,3
96,Sam Darnold,CAR,QB,24,12,11,0,0,2527,9,406,222,5,48,0,0,157,13,9,4
97,Davis Mills,HOU,QB,23,13,11,0,0,2664,16,394,44,0,18,0,0,157,10,5,1
98,Zach Wilson,NYJ,QB,22,13,13,1,0,2334,9,383,185,4,29,0,0,152,11,5,1
99,James Robinson,JAX,RB,23,14,13,46,31,0,0,0,767,8,164,222,0,143,0,4,2
100,Darrell Henderson,LAR,RB,24,12,10,40,29,0,0,0,688,5,149,176,3,134,0,0,0
101,Justin Fields,CHI,QB,22,12,10,0,0,1870,7,270,420,2,72,0,0,127,10,12,5
102,Myles Gaskin,MIA,RB,24,17,10,63,49,0,0,0,612,3,173,234,4,125,0,2,1
103,Sony Michel,LAR,RB,26,17,7,33,21,0,0,0,845,4,208,128,1,125,0,1,1
104,Tony Pollard,DAL,RB,24,15,0,46,39,0,0,0,719,2,130,337,0,124,0,2,0
105,DeVonta Smith,PHI,WR,23,17,16,104,64,0,0,0,0,0,0,916,5,122,0,1,1
106,A.J. Brown,TEN,WR,24,13,13,105,63,0,0,2,10,0,2,869,5,118,0,0,0
107,Michael Carter,NYJ,RB,22,14,11,55,36,0,0,0,639,4,147,325,0,118,0,1,1
108,Taysom Hill,NOR,QB,31,12,9,6,4,978,4,134,374,5,70,52,0,118,5,2,0
109,Van Jefferson,LAR,WR,25,17,17,89,50,0,0,0,20,0,2,802,6,118,0,0,0
