,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Jonathan Taylor,IND,RB,323.2,"1,614.2",13.8,42.8,364.6,1.7,2.7,0.0,0.0,0,0.0,0.0
2,Austin Ekeler,LAC,RB,221.4,949.1,9.6,74.3,684.3,5.7,2.3,0.0,0.0,0,0.0,0.0
3,Derrick Henry,TEN,RB,381.8,"1,590.4",11.6,30.4,226.9,0.4,2.6,0.0,0.0,0,0.0,0.0
4,Dalvin Cook,MIN,RB,292.4,"1,258.6",9.9,47.7,375.9,1.1,2.7,0.0,0.0,0,0.0,0.0
5,Joe Mixon,CIN,RB,278.6,"1,108.8",10.7,46.4,311.1,2.6,2.0,0.0,0.0,0,0.0,0.0
6,Alvin Kamara,NO,RB,234.8,891.7,6.5,62.4,575.2,4.5,1.9,0.0,0.0,0,0.0,0.0
7,Najee Harris,PIT,RB,294.9,"1,091.1",8.0,64.9,416.2,2.4,2.4,0.0,0.0,0,0.0,0.0
8,Christian McCaffrey,CAR,RB,214.5,906.5,5.6,87.8,695.7,2.6,2.0,0.0,0.0,0,0.0,0.0
9,James Conner,ARI,RB,226.3,871.0,10.3,44.1,361.9,2.3,2.1,0.0,0.0,0,0.0,0.0
10,Leonard Fournette,TB,RB,209.7,854.8,8.7,66.7,444.7,1.6,1.9,0.0,0.0,0,0.0,0.0
11,David Montgomery,CHI,RB,253.6,994.2,8.0,44.7,342.2,1.4,1.9,0.0,0.0,0,0.0,0.0
12,Aaron Jones,GB,RB,183.1,814.3,5.2,59.7,505.8,4.1,1.5,0.0,0.0,0,0.0,0.0
13,D'Andre Swift,DET,RB,200.9,826.8,6.6,66.3,494.2,2.8,2.2,0.0,0.0,0,0.0,0.0
14,Nick Chubb,CLE,RB,242.6,"1,179.3",6.7,24.9,217.3,1.0,2.0,0.0,0.0,0,0.0,0.0
15,Javonte Williams,DEN,RB,217.7,965.6,6.2,43.8,324.2,3.0,1.5,0.0,0.0,0,0.0,0.0
16,Cam Akers,LAR,RB,259.3,"1,066.1",6.5,38.3,319.5,1.3,3.4,0.0,0.0,0,0.0,0.0
17,Josh Jacobs,LV,RB,238.0,956.1,9.1,39.2,284.4,0.5,2.0,0.0,0.0,0,0.0,0.0
18,Antonio Gibson,WAS,RB,230.3,949.3,7.8,37.2,260.6,2.1,2.3,0.0,0.0,0,0.0,0.0
19,J.K. Dobbins,BAL,RB,184.0,913.8,9.0,33.9,249.9,0.7,1.5,0.0,0.0,0,0.0,0.0
20,Elijah Mitchell,SF,RB,278.2,"1,125.5",6.5,20.1,140.3,1.0,1.8,0.0,0.0,0,0.0,0.0
21,Breece Hall,NYJ,RB,200.1,903.7,6.0,37.8,338.6,1.7,2.0,0.0,0.0,0,0.0,0.0
22,Ezekiel Elliott,DAL,RB,208.5,844.7,8.1,37.8,250.2,1.6,1.5,0.0,0.0,0,0.0,0.0
23,Saquon Barkley,NYG,RB,220.1,828.9,5.1,55.0,394.3,2.5,2.0,0.0,0.0,0,0.0,0.0
24,Damien Harris,NE,RB,206.8,900.1,9.6,17.6,123.9,0.3,1.4,0.0,0.0,0,0.0,0.0
25,Miles Sanders,PHI,RB,214.0,"1,049.0",4.2,32.9,251.2,1.2,2.0,0.0,0.0,0,0.0,0.0
26,Devin Singletary,BUF,RB,194.6,874.0,7.0,31.3,204.2,1.0,1.7,0.0,0.0,0,0.0,0.0
27,Clyde Edwards-Helaire,KC,RB,173.8,753.3,5.3,39.3,289.1,2.3,1.4,0.0,0.0,0,0.0,0.0
28,Travis Etienne Jr.,JAC,RB,168.8,727.9,5.4,43.2,352.0,1.4,1.9,0.0,0.0,0,0.0,0.0
29,Kareem Hunt,CLE,RB,133.1,589.9,5.2,45.3,373.8,2.2,1.2,0.0,0.0,0,0.0,0.0
30,Tony Pollard,DAL,RB,156.2,759.3,3.4,44.5,351.8,1.2,1.4,0.0,0.0,0,0.0,0.0
31,Cordarrelle Patterson,ATL,RB,135.1,515.0,3.8,46.5,444.5,3.1,1.3,0.0,0.0,0,0.0,0.0
32,AJ Dillon,GB,RB,174.1,724.2,5.0,28.7,239.2,1.5,1.4,0.0,0.0,0,0.0,0.0
33,Melvin Gordon III,DEN,RB,151.2,681.0,6.8,22.6,166.2,1.1,1.8,0.0,0.0,0,0.0,0.0
34,Rhamondre Stevenson,NE,RB,172.7,717.3,5.7,25.2,196.5,0.5,1.4,0.0,0.0,0,0.0,0.0
35,Rashaad Penny,SEA,RB,158.2,787.5,4.7,17.3,132.7,0.4,1.2,0.0,0.0,0,0.0,0.0
36,Chase Edmonds,MIA,RB,127.1,592.5,2.8,53.0,369.4,1.4,1.3,0.0,0.0,0,0.0,0.0
37,James Robinson,JAC,RB,153.1,654.2,5.6,23.7,175.2,0.8,1.4,0.0,0.0,0,0.0,0.0
38,Michael Carter,NYJ,RB,135.1,608.0,3.5,36.9,332.7,0.8,1.3,0.0,0.0,0,0.0,0.0
39,Ken Walker III,SEA,RB,151.8,664.0,4.0,25.2,211.5,0.9,1.8,0.0,0.0,0,0.0,0.0
40,Dameon Pierce,HOU,RB,156.6,581.9,3.8,30.7,253.3,1.3,1.8,0.0,0.0,0,0.0,0.0
41,Gus Edwards,BAL,RB,151.6,715.0,4.0,16.2,145.1,0.3,1.3,0.0,0.0,0,0.0,0.0
42,Ronald Jones II,KC,RB,141.6,626.1,4.6,23.1,166.1,0.5,1.4,0.0,0.0,0,0.0,0.0
43,J.D. McKissic,WAS,RB,82.5,368.8,2.6,55.4,447.0,1.7,1.2,0.0,0.0,0,0.0,0.0
44,Raheem Mostert,MIA,RB,121.8,622.1,4.2,16.7,138.1,0.8,0.8,0.0,0.0,0,0.0,0.0
45,Jamaal Williams,DET,RB,149.5,596.1,3.6,25.0,148.8,0.8,1.2,0.0,0.0,0,0.0,0.0
46,Tyler Allgeier,ATL,RB,134.3,483.3,3.0,29.5,247.9,1.3,1.7,0.0,0.0,0,0.0,0.0
47,Isaiah Spiller,LAC,RB,124.2,535.8,4.0,18.0,132.4,0.8,0.6,0.0,0.0,0,0.0,0.0
48,James Cook,BUF,RB,99.0,441.6,3.3,29.9,243.4,1.4,1.3,0.0,0.0,0,0.0,0.0
49,Darrell Henderson Jr.,LAR,RB,111.6,456.9,3.6,22.3,167.0,1.7,1.1,0.0,0.0,0,0.0,0.0
50,Alexander Mattison,MIN,RB,127.7,505.8,3.3,25.0,185.0,0.9,1.2,0.0,0.0,0,0.0,0.0
51,Kenneth Gainwell,PHI,RB,84.4,352.9,4.3,28.9,227.8,1.6,1.3,0.0,0.0,0,0.0,0.0
52,Nyheim Hines,IND,RB,68.1,308.4,2.0,50.2,390.8,1.9,2.4,0.0,0.0,0,0.0,0.0
53,Marlon Mack,HOU,RB,158.3,595.8,3.7,12.1,77.0,0.2,1.2,0.0,0.0,0,0.0,0.0
54,Darrel Williams,ARI,RB,108.4,387.6,4.1,23.5,204.1,0.8,1.1,0.0,0.0,0,0.0,0.0
55,Mark Ingram II,NO,RB,138.8,480.0,3.4,20.2,138.1,0.7,1.3,0.0,0.0,0,0.0,0.0
56,Kenyan Drake,LV,RB,88.1,360.7,3.0,29.8,251.2,1.1,1.3,0.0,0.0,0,0.0,0.0
57,Brian Robinson Jr.,WAS,RB,98.6,416.6,4.3,12.0,87.9,0.5,0.4,0.0,0.0,0,0.0,0.0
58,James White,NE,RB,35.9,155.3,1.5,47.2,391.3,2.3,0.2,0.0,0.0,0,0.0,0.0
59,Damien Williams,ATL,RB,82.0,358.0,2.4,24.3,188.6,1.2,0.3,0.0,0.0,0,0.0,0.0
60,Rex Burkhead,HOU,RB,75.3,263.1,2.5,31.7,252.0,1.4,0.7,0.0,0.0,0,0.0,0.0
61,Sony Michel,MIA,RB,109.0,460.5,2.7,9.6,58.6,0.2,0.7,0.0,0.0,0,0.0,0.0
62,Ke'Shawn Vaughn,TB,RB,96.5,380.2,4.0,9.8,61.3,0.1,0.7,0.0,0.0,0,0.0,0.0
63,Khalil Herbert,CHI,RB,103.1,430.9,2.3,15.3,109.5,0.3,1.2,0.0,0.0,0,0.0,0.0
64,Brandon Bolden,LV,RB,49.0,224.0,1.0,32.0,326.0,1.0,1.0,0.0,0.0,0,0.0,0.0
65,Samaje Perine,CIN,RB,83.0,342.0,2.1,17.5,125.5,0.9,0.6,0.0,0.0,0,0.0,0.0
66,Rachaad White,TB,RB,68.8,292.9,2.3,19.3,145.2,0.8,0.4,0.0,0.0,0,0.0,0.0
67,Matt Breida,NYG,RB,85.8,355.3,1.8,14.9,113.8,1.3,1.7,0.0,0.0,0,0.0,0.0
68,Dontrell Hilliard,TEN,RB,52.9,270.4,2.0,30.4,179.8,0.4,1.2,0.0,0.0,0,0.0,0.0
69,D'Onta Foreman,CAR,RB,92.0,367.7,2.2,6.8,65.6,0.1,0.7,0.0,0.0,0,0.0,0.0
70,Ryan Nall,DAL,RB,109.0,301.0,2.0,10.0,63.0,1.0,1.0,0.0,0.0,0,0.0,0.0
71,Chuba Hubbard,CAR,RB,76.3,271.8,1.8,14.9,104.6,0.7,0.6,0.0,0.0,0,0.0,0.0
72,Duke Johnson Jr.,BUF,RB,48.2,232.4,1.8,11.0,104.6,0.6,0.5,0.0,0.0,0,0.0,0.0
73,Craig Reynolds,DET,RB,56.8,241.9,1.0,16.6,125.7,0.7,0.6,0.0,0.0,0,0.0,0.0
