"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","598.0","381.0","4,342.7","34.7","15.8","119.0","699.2","6.4","3.8","397.6"
"Patrick Mahomes II","KC","638.2","420.5","4,727.0","34.5","13.0","66.3","374.1","3.1","3.6","362.5"
"Justin Herbert","LAC","628.1","416.5","4,619.9","34.0","14.2","61.8","281.7","3.2","2.0","350.3"
"Jalen Hurts","PHI","482.2","295.9","3,490.8","24.7","13.3","143.5","760.6","8.3","3.4","343.9"
"Lamar Jackson","BAL","524.1","340.7","3,705.2","24.2","13.9","166.1","947.0","4.0","4.4","340.9"
"Tom Brady","TB","672.9","445.1","4,749.0","34.2","12.8","29.1","49.9","2.1","3.2","325.4"
"Kyler Murray","ARI","568.7","384.9","4,150.1","26.3","14.0","98.0","467.1","4.5","3.0","325.1"
"Dak Prescott","DAL","619.2","414.3","4,600.9","32.6","12.7","53.5","189.1","2.6","5.5","325.0"
"Aaron Rodgers","GB","563.0","377.3","4,254.9","34.4","8.0","36.3","126.5","2.1","2.1","320.5"
"Russell Wilson","DEN","560.6","362.6","4,188.6","29.5","9.9","63.2","290.3","2.2","3.1","311.7"
"Matthew Stafford","LAR","585.0","396.3","4,600.6","32.5","15.9","38.6","81.2","1.8","2.7","311.5"
"Joe Burrow","CIN","560.7","375.7","4,368.1","30.2","14.0","46.9","159.8","2.4","2.3","307.6"
"Trey Lance","SF","482.3","302.8","3,757.9","23.8","14.8","110.6","495.4","4.1","2.0","300.5"
"Kirk Cousins","MIN","574.4","376.0","4,258.5","30.2","10.9","29.4","102.1","1.1","3.9","288.8"
"Tua Tagovailoa","MIA","583.6","387.0","4,059.8","26.0","15.3","52.5","180.3","3.6","2.7","285.1"
"Derek Carr","LV","614.4","415.6","4,605.1","26.6","14.6","34.1","106.1","1.0","4.9","282.7"
"Deshaun Watson","CLE","417.9","273.5","3,169.8","21.2","10.4","82.8","440.1","5.1","2.8","269.8"
"Trevor Lawrence","JAC","592.7","376.0","3,963.0","22.1","14.9","71.8","326.1","2.1","4.1","269.1"
"Zach Wilson","NYJ","581.2","348.7","3,847.5","23.6","18.7","43.7","262.6","2.8","2.4","267.8"
"Justin Fields","CHI","521.0","326.3","3,621.3","19.9","18.2","100.0","540.9","2.8","6.7","263.7"
"Ryan Tannehill","TEN","498.5","330.7","3,547.7","23.7","15.4","52.9","246.6","3.8","3.5","261.6"
"Jameis Winston","NO","490.0","307.3","3,424.3","25.3","13.2","70.8","320.2","1.9","3.6","261.2"
"Matt Ryan","IND","516.8","333.1","3,691.8","26.0","11.7","44.5","136.9","1.8","4.5","255.8"
"Carson Wentz","WAS","537.4","347.5","3,716.1","24.1","12.5","57.0","204.7","1.4","4.7","251.9"
"Daniel Jones","NYG","547.8","337.2","3,553.7","19.1","18.3","84.9","431.0","2.4","5.6","246.3"
"Jared Goff","DET","563.1","371.9","3,778.2","24.4","13.0","27.2","84.6","1.1","5.1","240.5"
"Mac Jones","NE","519.9","342.6","3,739.5","23.7","16.7","34.4","110.4","0.2","2.3","235.6"
"Davis Mills","HOU","561.6","364.7","3,883.2","20.6","16.6","29.3","91.8","0.5","3.0","227.4"
"Marcus Mariota","ATL","428.8","273.5","2,932.7","15.2","14.8","38.9","213.6","1.2","1.1","190.0"
"Sam Darnold","CAR","453.6","276.6","2,870.8","13.7","17.7","45.8","194.7","2.5","3.9","178.9"
"Mitchell Trubisky","PIT","383.9","244.7","2,392.9","14.4","7.7","28.2","88.0","1.0","1.5","157.0"
"Geno Smith","SEA","275.5","171.5","1,924.8","11.2","7.1","21.1","83.3","0.9","2.0","124.2"
"Drew Lock","SEA","259.2","164.0","1,847.4","9.3","6.7","24.2","103.0","1.5","2.0","119.6"
"Kenny Pickett","PIT","282.6","171.5","1,774.2","9.9","6.5","20.2","74.1","0.5","1.8","111.2"
"Desmond Ridder","ATL","141.1","86.7","954.5","5.3","4.0","20.7","91.0","0.6","1.0","66.0"
"Matt Corral","CAR","151.6","92.4","1,020.7","4.9","4.2","14.9","65.7","0.6","1.1","64.2"
"Jacoby Brissett","CLE","111.9","71.4","767.1","5.3","2.5","12.5","45.3","0.6","1.4","54.9"
"Teddy Bridgewater","MIA","47.0","31.1","334.8","2.1","1.1","6.0","22.1","0.2","0.2","23.8"
"Taysom Hill","NO","5.0","3.0","34.0","0.0","0.0","29.0","132.0","2.0","2.0","22.6"
"Tyler Huntley","BAL","34.4","22.4","230.4","1.5","1.0","11.6","61.8","0.4","0.2","22.4"
"Gardner Minshew II","PHI","39.7","25.0","286.9","2.0","1.0","7.1","35.3","0.1","0.2","22.2"
"Tyrod Taylor","NYG","43.8","26.6","291.7","1.7","1.4","6.8","33.1","0.3","0.3","21.9"
"Andy Dalton","NO","38.1","24.6","261.9","1.9","1.4","4.8","18.4","0.1","0.2","18.8"
"Case Keenum","BUF","30.2","19.3","217.9","2.0","0.9","1.5","7.2","0.0","0.1","16.5"
"Chad Henne","KC","32.1","20.4","223.7","1.5","0.9","2.8","5.6","0.1","0.2","14.7"
"Brett Rypien","DEN","33.5","19.8","221.3","1.6","1.3","1.4","5.2","0.1","0.2","14.5"
"Cooper Rush","DAL","30.6","18.7","213.5","1.5","0.9","3.3","4.5","0.0","0.1","13.8"
"Jordan Love","GB","27.9","16.5","183.8","1.5","0.7","2.9","12.3","0.0","0.2","13.7"
"Brandon Allen","CIN","28.7","18.3","205.7","1.3","0.9","2.7","9.9","0.0","0.1","13.6"
"Chase Daniel","LAC","30.7","19.0","206.6","1.4","1.1","2.7","8.0","0.0","0.1","13.4"
"John Wolford","LAR","28.5","17.6","195.2","1.3","1.1","2.7","11.1","0.0","0.1","13.1"
"Colt McCoy","ARI","28.5","18.9","200.6","1.2","0.9","2.5","10.0","0.0","0.2","12.8"
"Nick Foles","IND","26.4","16.8","184.2","1.2","0.4","2.8","12.8","0.0","0.1","12.8"
"Josh Johnson","DEN","24.0","16.0","174.0","1.0","0.0","4.0","18.0","0.0","0.0","12.8"
"Nick Mullens","LV","30.8","20.7","229.9","1.3","1.1","2.2","2.8","0.0","0.6","12.6"
"Kyle Trask","TB","28.6","17.4","181.3","1.4","0.6","1.3","4.8","0.0","0.1","12.5"
"Joe Flacco","NYJ","30.1","18.7","206.5","1.3","0.8","2.4","11.3","0.0","0.6","12.5"
"Malik Willis","TEN","27.5","17.2","188.0","1.1","0.9","2.6","12.1","0.1","0.1","12.3"
"C.J. Beathard","JAC","28.9","17.8","195.3","1.2","0.4","2.8","11.2","0.0","0.7","12.2"
"Tim Boyle","DET","28.4","17.5","181.2","1.2","1.1","2.6","10.0","0.0","0.1","12.0"
"Trevor Siemian","CHI","28.2","17.3","189.7","1.1","0.8","2.0","8.9","0.0","0.1","11.9"
"Nate Sudfeld","SF","28.1","17.3","189.1","1.2","1.0","1.2","4.7","0.1","0.2","11.7"
"Jarrett Stidham","LV","26.0","18.0","202.0","1.0","1.0","4.0","6.0","0.0","0.0","11.7"
"Mason Rudolph","PIT","27.0","17.0","158.0","1.0","0.0","4.0","13.0","0.0","0.0","11.6"
"Jimmy Garoppolo","SF","20.0","14.0","168.0","1.0","1.0","5.0","19.0","0.0","0.0","11.6"
"Brian Hoyer","NE","26.4","17.1","185.9","1.2","1.1","3.1","3.4","0.0","0.1","11.4"
"Kellen Mond","MIN","26.2","15.4","158.1","1.2","0.6","1.2","5.0","0.0","0.1","11.0"
"Taylor Heinicke","WAS","23.0","14.9","157.3","1.0","0.9","3.4","13.9","0.0","0.1","11.0"
"Kyle Allen","HOU","28.5","18.0","196.2","1.1","0.9","1.7","6.5","0.0","0.7","10.9"
"Sean Mannion","MIN","24.0","13.0","150.0","1.0","1.0","5.0","18.0","0.0","0.0","10.8"
"Mike White","NYJ","25.0","14.0","158.0","1.0","1.0","4.0","4.0","0.0","0.0","9.7"
"Nathan Peterman","CHI","16.0","9.0","94.0","1.0","1.0","5.0","18.0","0.0","0.0","8.6"
"Sam Howell","WAS","7.8","4.7","51.4","0.3","0.2","0.4","2.0","0.0","0.1","3.3"
"Joshua Dobbs","CLE","3.2","2.0","21.5","0.2","0.1","0.1","0.6","0.0","0.0","1.4"
""
""
