"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jonathan Taylor","IND","323.2","1,614.2","13.8","42.8","364.6","1.7","2.7","285.4"
"Austin Ekeler","LAC","221.4","949.1","9.6","74.3","684.3","5.7","2.3","250.3"
"Derrick Henry","TEN","381.8","1,590.4","11.6","30.4","226.9","0.4","2.6","248.3"
"Dalvin Cook","MIN","292.4","1,258.6","9.9","47.7","375.9","1.1","2.7","223.5"
"Joe Mixon","CIN","278.6","1,108.8","10.7","46.4","311.1","2.6","2.0","218.1"
"Alvin Kamara","NO","234.8","891.7","6.5","62.4","575.2","4.5","1.9","208.7"
"Najee Harris","PIT","294.9","1,091.1","8.0","64.9","416.2","2.4","2.4","208.6"
"Christian McCaffrey","CAR","214.5","906.5","5.6","87.8","695.7","2.6","2.0","205.2"
"James Conner","ARI","226.3","871.0","10.3","44.1","361.9","2.3","2.1","194.7"
"Leonard Fournette","TB","209.7","854.8","8.7","66.7","444.7","1.6","1.9","187.6"
"David Montgomery","CHI","253.6","994.2","8.0","44.7","342.2","1.4","1.9","186.0"
"Aaron Jones","GB","183.1","814.3","5.2","59.7","505.8","4.1","1.5","184.9"
"D'Andre Swift","DET","200.9","826.8","6.6","66.3","494.2","2.8","2.2","184.0"
"Nick Chubb","CLE","242.6","1,179.3","6.7","24.9","217.3","1.0","2.0","181.8"
"Javonte Williams","DEN","217.7","965.6","6.2","43.8","324.2","3.0","1.5","181.2"
"Cam Akers","LAR","259.3","1,066.1","6.5","38.3","319.5","1.3","3.4","178.6"
"Josh Jacobs","LV","238.0","956.1","9.1","39.2","284.4","0.5","2.0","178.3"
"Antonio Gibson","WAS","230.3","949.3","7.8","37.2","260.6","2.1","2.3","175.6"
"J.K. Dobbins","BAL","184.0","913.8","9.0","33.9","249.9","0.7","1.5","171.3"
"Elijah Mitchell","SF","278.2","1,125.5","6.5","20.1","140.3","1.0","1.8","168.1"
"Breece Hall","NYJ","200.1","903.7","6.0","37.8","338.6","1.7","2.0","166.2"
"Ezekiel Elliott","DAL","208.5","844.7","8.1","37.8","250.2","1.6","1.5","165.2"
"Saquon Barkley","NYG","220.1","828.9","5.1","55.0","394.3","2.5","2.0","164.0"
"Damien Harris","NE","206.8","900.1","9.6","17.6","123.9","0.3","1.4","158.8"
"Miles Sanders","PHI","214.0","1,049.0","4.2","32.9","251.2","1.2","2.0","158.5"
"Devin Singletary","BUF","194.6","874.0","7.0","31.3","204.2","1.0","1.7","152.7"
"Clyde Edwards-Helaire","KC","173.8","753.3","5.3","39.3","289.1","2.3","1.4","146.6"
"Travis Etienne Jr.","JAC","168.8","727.9","5.4","43.2","352.0","1.4","1.9","145.0"
"Kareem Hunt","CLE","133.1","589.9","5.2","45.3","373.8","2.2","1.2","138.4"
"Tony Pollard","DAL","156.2","759.3","3.4","44.5","351.8","1.2","1.4","135.9"
"Cordarrelle Patterson","ATL","135.1","515.0","3.8","46.5","444.5","3.1","1.3","134.7"
"AJ Dillon","GB","174.1","724.2","5.0","28.7","239.2","1.5","1.4","132.6"
"Melvin Gordon III","DEN","151.2","681.0","6.8","22.6","166.2","1.1","1.8","128.7"
"Rhamondre Stevenson","NE","172.7","717.3","5.7","25.2","196.5","0.5","1.4","126.0"
"Rashaad Penny","SEA","158.2","787.5","4.7","17.3","132.7","0.4","1.2","120.0"
"Chase Edmonds","MIA","127.1","592.5","2.8","53.0","369.4","1.4","1.3","118.9"
"James Robinson","JAC","153.1","654.2","5.6","23.7","175.2","0.8","1.4","118.5"
"Michael Carter","NYJ","135.1","608.0","3.5","36.9","332.7","0.8","1.3","117.3"
"Ken Walker III","SEA","151.8","664.0","4.0","25.2","211.5","0.9","1.8","113.1"
"Dameon Pierce","HOU","156.6","581.9","3.8","30.7","253.3","1.3","1.8","110.5"
"Gus Edwards","BAL","151.6","715.0","4.0","16.2","145.1","0.3","1.3","109.0"
"Ronald Jones II","KC","141.6","626.1","4.6","23.1","166.1","0.5","1.4","107.3"
"J.D. McKissic","WAS","82.5","368.8","2.6","55.4","447.0","1.7","1.2","105.1"
"Raheem Mostert","MIA","121.8","622.1","4.2","16.7","138.1","0.8","0.8","104.8"
"Jamaal Williams","DET","149.5","596.1","3.6","25.0","148.8","0.8","1.2","98.4"
"Tyler Allgeier","ATL","134.3","483.3","3.0","29.5","247.9","1.3","1.7","95.4"
"Isaiah Spiller","LAC","124.2","535.8","4.0","18.0","132.4","0.8","0.6","94.6"
"James Cook","BUF","99.0","441.6","3.3","29.9","243.4","1.4","1.3","94.3"
"Darrell Henderson Jr.","LAR","111.6","456.9","3.6","22.3","167.0","1.7","1.1","91.8"
"Alexander Mattison","MIN","127.7","505.8","3.3","25.0","185.0","0.9","1.2","91.8"
"Kenneth Gainwell","PHI","84.4","352.9","4.3","28.9","227.8","1.6","1.3","90.7"
"Nyheim Hines","IND","68.1","308.4","2.0","50.2","390.8","1.9","2.4","88.5"
"Marlon Mack","HOU","158.3","595.8","3.7","12.1","77.0","0.2","1.2","88.5"
"Darrel Williams","ARI","108.4","387.6","4.1","23.5","204.1","0.8","1.1","86.6"
