,Season,Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
0,2013,WR,DEN,Demaryius Thomas,16,1106,1207.0,91.63,69.13,0.0,12.84,12.84,227.0,0.21
1,2013,WR,BAL,Torrey Smith,16,1098,1136.0,96.65,68.63,0.0,12.48,12.48,138.8,0.13
2,2013,WR,GB,Jordy Nelson,16,1083,1122.0,96.52,67.69,0.0,11.73,11.73,179.4,0.17
3,2013,WR,CIN,AJ Green,16,1055,1132.0,93.2,65.94,0.0,16.87,16.87,208.6,0.2
4,2013,WR,DEN,Eric Decker,16,1050,1207.0,86.99,65.63,0.0,12.95,12.95,192.8,0.18
5,2013,WR,NE,Julian Edelman,16,1021,1197.0,85.3,63.81,0.2,14.79,14.99,146.7,0.14
6,2013,TE,ATL,Tony Gonzalez,16,1003,1077.0,93.13,62.69,0.0,12.06,12.06,135.9,0.14
7,2013,TE,CAR,Greg Olsen,16,1000,1029.0,97.18,62.5,0.0,11.1,11.1,117.6,0.12
8,2013,WR,ARI,Larry Fitzgerald,16,998,1084.0,92.07,62.38,0.2,13.53,13.73,154.2,0.15
9,2013,WR,HOU,DeAndre Hopkins,16,995,1121.0,88.76,62.19,0.0,9.15,9.15,90.2,0.09
10,2013,WR,HOU,Andre Johnson,16,994,1121.0,88.67,62.13,0.0,18.21,18.21,170.7,0.17
11,2013,WR,PHI,DeSean Jackson,16,987,1103.0,89.48,61.69,0.3,12.77,13.07,187.4,0.19
12,2013,WR,CHI,Brandon Marshall,16,987,1057.0,93.38,61.69,0.0,16.62,16.62,205.5,0.21
13,2013,TE,DAL,Jason Witten,16,984,997.0,98.7,61.5,0.0,11.28,11.28,133.1,0.14
14,2013,WR,PHI,Riley Cooper,16,980,1103.0,88.85,61.25,0.0,8.47,8.47,137.3,0.14
15,2013,WR,WAS,Pierre Garcon,16,978,1144.0,85.49,61.13,0.2,18.61,18.81,164.5,0.17
16,2013,WR,TB,Vincent Jackson,16,969,1036.0,93.53,60.56,0.1,16.51,16.62,164.4,0.17
17,2013,TE,CLE,Jordan Cameron,15,969,1041.0,93.08,64.6,0.0,12.18,12.18,133.7,0.14
18,2013,TE,SD,Antonio Gates,16,968,1110.0,87.21,60.5,0.0,11.67,11.67,107.2,0.11
19,2013,WR,CHI,Alshon Jeffery,16,962,1057.0,91.01,60.13,1.66,15.49,17.15,194.6,0.2
20,2013,WR,PIT,Antonio Brown,16,955,1052.0,90.78,59.69,0.73,17.38,18.12,198.9,0.21
21,2013,TE,CHI,Martellus Bennett,16,952,1057.0,90.07,59.5,0.0,9.87,9.87,103.9,0.11
22,2013,WR,DET,Kris Durham,16,951,1135.0,83.79,59.44,0.0,8.94,8.94,59.0,0.06
23,2013,WR,MIA,Mike Wallace,16,951,1027.0,92.6,59.44,0.32,14.83,15.14,126.3,0.13
24,2013,WR,SD,Keenan Allen,15,944,1057.0,89.31,62.93,0.0,11.02,11.02,148.6,0.16
25,2013,WR,CLE,Greg Little,16,940,1106.0,84.99,58.75,0.0,10.53,10.53,58.5,0.06
26,2013,WR,DAL,Dez Bryant,16,933,997.0,93.58,58.31,0.11,17.04,17.15,199.4,0.21
27,2013,WR,ARI,Michael Floyd,16,930,1084.0,85.79,58.13,0.0,11.94,11.94,134.1,0.14
28,2013,RB,CHI,Matt Forte,16,928,1057.0,87.8,58.0,31.03,10.24,41.27,263.3,0.28
29,2013,WR,ATL,Harry Douglas,16,926,1077.0,85.98,57.88,0.0,14.25,14.25,114.7,0.12
30,2013,TE,BUF,Scott Chandler,16,918,1161.0,79.07,57.38,0.0,8.82,8.82,75.5,0.08
