Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
QB,GB,Aaron Rodgers,16,983,1056.989247311828,93,3,0,57,336.3,0.34211597151576806
QB,PIT,Ben Roethlisberger,16,1076,1086.8686868686868,99,2,0,58,228.0,0.21189591078066913
QB,NYJ,Joe Flacco,2,66,137.5,48,3,0,67,23.8,0.3606060606060606
QB,BAL,Josh Johnson,4,128,284.44444444444446,45,7,0,73,48.4,0.378125
QB,ATL,Matt Ryan,17,1023,1054.639175257732,97,4,0,59,234.8,0.2295210166177908
QB,LAR,Matthew Stafford,17,1065,1086.734693877551,98,3,0,59,346.8,0.3256338028169014
QB,TB,Tom Brady,17,1139,1186.4583333333335,96,2,0,66,386.7,0.3395083406496927
QB,ARI,Colt McCoy,7,209,509.75609756097555,41,11,0,58,42.3,0.20239234449760765
QB,CAR,Cam Newton,8,252,525.0,48,19,0,69,91.3,0.3623015873015873
QB,CHI,Andy Dalton,8,412,549.3333333333334,75,4,0,61,93.1,0.22597087378640776
QB,HOU,Tyrod Taylor,6,323,380.0,85,6,0,52,86.7,0.26842105263157895
QB,TEN,Ryan Tannehill,17,1168,1191.8367346938776,98,5,0,50,282.3,0.24169520547945206
QB,CHI,Nick Foles,1,74,74.0,100,5,0,53,16.8,0.22702702702702704
QB,MIN,Kirk Cousins,16,1087,1087.0,100,3,0,54,307.3,0.2827046918123275
QB,SEA,Russell Wilson,14,788,812.3711340206186,97,5,0,56,248.7,0.31560913705583754
QB,CLE,Case Keenum,5,169,338.0,50,7,0,50,29.6,0.17514792899408285
QB,NYG,Mike Glennon,6,315,398.73417721518985,79,2,0,55,40.9,0.12984126984126984
QB,SEA,Geno Smith,4,203,241.66666666666669,84,4,0,51,55.3,0.27241379310344827
QB,DEN,Teddy Bridgewater,14,844,927.4725274725274,91,4,0,54,209.8,0.24857819905213271
QB,LV,Derek Carr,17,1127,1138.3838383838383,99,4,0,59,270.6,0.24010647737355814
QB,SF,Jimmy Garoppolo,15,913,961.0526315789473,95,4,0,52,239.5,0.2623220153340635
QB,WAS,Garrett Gilbert,1,55,55.0,100,0,0,56,7.8,0.14181818181818182
QB,NO,Jameis Winston,7,371,441.6666666666667,84,9,0,52,120.3,0.3242587601078167
QB,MIN,Sean Mannion,1,51,54.25531914893617,94,4,0,75,13.0,0.2549019607843137
QB,WAS,Taylor Heinicke,16,1019,1072.6315789473683,95,6,0,54,236.7,0.2322865554465162
QB,NO,Trevor Siemian,6,359,412.64367816091954,87,3,0,55,93.2,0.2596100278551532
QB,DET,Jared Goff,14,918,927.2727272727273,99,2,0,56,202.4,0.220479302832244
QB,IND,Carson Wentz,17,1091,1113.265306122449,98,5,0,53,264.9,0.24280476626947753
QB,DAL,Dak Prescott,16,1113,1159.375,96,4,0,58,330.4,0.2968553459119497
QB,MIA,Jacoby Brissett,11,376,723.0769230769231,52,5,0,65,76.4,0.20319148936170214
QB,KC,Patrick Mahomes II,17,1164,1200.0,97,6,0,62,374.2,0.3214776632302405
QB,DAL,Cooper Rush,4,110,282.05128205128204,39,8,0,51,25.1,0.2281818181818182
