"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","124.3","1,570.3","11.9","4.1","20.8","0.1","0.8","229.2"
"Deebo Samuel","SF","69.9","1,095.7","4.8","78.4","458.9","5.6","1.7","214.6"
"Justin Jefferson","MIN","102.1","1,516.9","8.5","4.6","17.2","0.1","0.8","203.2"
"Ja'Marr Chase","CIN","88.2","1,374.7","9.8","12.3","60.5","0.3","0.9","202.3"
"Stefon Diggs","BUF","101.9","1,291.4","8.9","0.5","4.5","0.0","0.8","181.5"
"Davante Adams","LV","110.0","1,364.2","7.3","0.0","0.0","0.0","0.7","178.5"
"Mike Evans","TB","80.1","1,120.9","10.3","0.5","3.5","0.0","0.7","172.7"
"CeeDee Lamb","DAL","90.3","1,209.0","7.2","8.9","65.1","0.2","0.7","170.2"
"Tyreek Hill","MIA","98.2","1,156.1","7.7","9.5","69.2","0.2","0.8","168.0"
"Tee Higgins","CIN","84.7","1,186.3","7.7","0.5","2.0","0.0","0.8","163.7"
"Mike Williams","LAC","71.2","1,097.4","8.6","0.0","0.0","0.0","0.6","159.8"
"A.J. Brown","PHI","74.8","1,131.0","7.7","1.0","10.5","0.0","0.7","158.8"
"Jaylen Waddle","MIA","98.7","1,055.6","7.1","5.0","25.7","1.2","1.0","156.1"
"Keenan Allen","LAC","104.8","1,129.3","7.0","0.5","1.0","0.0","0.8","153.4"
"Michael Pittman Jr.","IND","89.6","1,115.7","6.4","4.8","36.4","0.1","0.8","152.3"
"Chris Godwin","TB","95.6","1,111.9","6.1","4.0","22.2","0.6","1.4","151.2"
"Diontae Johnson","PIT","98.4","1,122.6","6.2","4.5","33.2","0.1","1.5","150.0"
"DJ Moore","CAR","86.4","1,172.4","4.9","6.8","42.7","0.1","0.8","150.0"
"DK Metcalf","SEA","77.5","1,077.5","7.2","0.5","2.5","0.0","0.8","149.3"
"Terry McLaurin","WAS","80.3","1,113.6","6.2","0.5","6.0","0.0","0.7","147.7"
"Jerry Jeudy","DEN","78.0","1,130.1","5.3","3.0","13.7","0.1","0.9","145.2"
"Darnell Mooney","CHI","77.2","1,090.6","5.2","5.1","26.4","0.6","0.7","145.1"
"Gabriel Davis","BUF","54.4","873.5","9.4","0.0","0.0","0.0","0.2","143.3"
"Brandin Cooks","HOU","91.7","1,101.2","5.2","3.4","24.9","0.1","0.7","142.7"
"Amari Cooper","CLE","80.1","997.3","7.2","0.5","1.5","0.0","0.8","141.7"
"Courtland Sutton","DEN","69.6","1,041.5","6.4","0.5","1.5","0.0","0.7","141.3"
"Marquise Brown","ARI","81.8","1,010.9","6.4","0.5","2.5","0.0","0.9","138.1"
"Elijah Moore","NYJ","61.6","863.0","6.2","7.0","70.9","1.1","0.8","136.1"
"Allen Robinson II","LAR","74.8","984.1","6.0","0.0","0.0","0.0","0.7","132.8"
"DeVonta Smith","PHI","65.7","918.3","6.9","0.0","0.0","0.0","0.7","131.7"
"Adam Thielen","MIN","73.2","790.9","8.7","1.0","3.0","0.0","0.8","130.2"
"Amon-Ra St. Brown","DET","81.9","876.3","5.3","9.8","70.5","0.8","0.8","129.8"
"Tyler Lockett","SEA","78.7","1,007.4","4.8","2.0","7.9","0.0","0.7","129.3"
"Michael Thomas","NO","81.1","948.7","5.5","0.5","-2.0","0.0","0.7","126.7"
"JuJu Smith-Schuster","KC","79.7","857.4","5.9","2.5","9.5","1.0","0.8","126.4"
"Hunter Renfrow","LV","81.8","850.9","6.8","3.0","12.6","0.1","1.0","125.6"
"Rashod Bateman","BAL","74.1","973.8","4.7","0.0","0.0","0.0","0.8","124.3"
